   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Downloading onnxruntime (16.6MiB)
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
 Downloading onnxruntime
Installed 5 packages in 5.40s
import time: self [us] | cumulative | imported package
import time:      1584 |      23611 |                     importlib.metadata
import time:      5308 |       5308 |                                 sysconfig
import time:      5696 |       5696 |                                   packaging._elffile
import time:      4453 |      10148 |                                 packaging._manylinux
import time:      3836 |       3836 |                                 packaging._musllinux
import time:      6178 |      25469 |                               packaging.tags
import time:      4724 |      30193 |                             packaging.utils
import time:      6541 |      36733 |                           packaging.specifiers
import time:      7126 |      43858 |                         packaging._tokenizer
import time:      5430 |      49288 |                       packaging._parser
import time:      4749 |       4749 |                       packaging.markers
import time:      5560 |      59596 |                     packaging.requirements
import time:      8043 |      91249 |                   lightning_utilities.core.imports
import time:       387 |        387 |                           unittest.util
import time:       648 |       1034 |                         unittest.result
import time:      1160 |       1160 |                           difflib
import time:      1116 |       1116 |                           pprint
import time:       905 |       3180 |                         unittest.case
import time:       373 |        373 |                         unittest.suite
import time:       578 |        578 |                         unittest.loader
import time:       299 |        299 |                             unittest.signals
import time:       353 |        651 |                           unittest.runner
import time:       341 |        991 |                         unittest.main
import time:       960 |       7114 |                       unittest
import time:       824 |        824 |                             concurrent
import time:       841 |        841 |                             concurrent.futures._base
import time:       566 |       2230 |                           concurrent.futures
import time:      4060 |       4060 |                             _ssl
import time:      3656 |       7715 |                           ssl
import time:       469 |        469 |                           asyncio.constants
import time:       265 |        265 |                               asyncio.format_helpers
import time:       278 |        542 |                             asyncio.base_futures
import time:       267 |        267 |                             asyncio.log
import time:       471 |       1279 |                           asyncio.coroutines
import time:       806 |        806 |                               _contextvars
import time:       812 |       1618 |                             contextvars
import time:       503 |        503 |                               asyncio.exceptions
import time:       534 |        534 |                               asyncio.base_tasks
import time:      1379 |       2414 |                             _asyncio
import time:       624 |       4655 |                           asyncio.events
import time:       401 |        401 |                           asyncio.futures
import time:       423 |        423 |                           asyncio.protocols
import time:       458 |        458 |                             asyncio.transports
import time:       683 |       1140 |                           asyncio.sslproto
import time:       400 |        400 |                               asyncio.mixins
import time:      1466 |       1466 |                               asyncio.tasks
import time:       456 |       2321 |                             asyncio.locks
import time:       546 |       2866 |                           asyncio.staggered
import time:       470 |        470 |                           asyncio.trsock
import time:      1123 |      22767 |                         asyncio.base_events
import time:       324 |        324 |                         asyncio.runners
import time:       467 |        467 |                         asyncio.queues
import time:       650 |        650 |                         asyncio.streams
import time:       561 |        561 |                         asyncio.subprocess
import time:       284 |        284 |                         asyncio.threads
import time:       493 |        493 |                           asyncio.base_subprocess
import time:       647 |        647 |                           asyncio.selector_events
import time:       833 |       1973 |                         asyncio.unix_events
import time:       963 |      27985 |                       asyncio
import time:      1229 |      36327 |                     unittest.mock
import time:      6556 |      42883 |                   lightning_utilities.core.overrides
import time:      5990 |       5990 |                   lightning_utilities.core.rank_zero
import time:      9802 |     202252 |                 lightning_utilities.core
import time:        24 |     202276 |               lightning_utilities.core.apply_func
import time:      8048 |     218135 |             lightning_utilities
import time:        10 |     218144 |           lightning_utilities.core
import time:        22 |     218166 |         lightning_utilities.core.imports
import time:      2298 |       2298 |               _ctypes
import time:       769 |        769 |               ctypes._endian
import time:      1578 |       4643 |             ctypes
import time:      1071 |       1071 |             glob
import time:      6961 |       6961 |             torch._utils
import time:       962 |        962 |               tempfile
import time:      6781 |       6781 |                 torch._strobelight
import time:       659 |        659 |                       _json
import time:       317 |        975 |                     json.scanner
import time:       317 |       1292 |                   json.decoder
import time:       347 |        347 |                   json.encoder
import time:       671 |       2309 |                 json
import time:      6403 |       6403 |                 torch._strobelight.cli_function_profiler
import time:     10241 |      25733 |               torch._strobelight.compile_time_profiler
import time:      6032 |      32726 |             torch._utils_internal
import time:      7834 |       7834 |                   torch._vendor
import time:     13507 |      21341 |                 torch._vendor.packaging
import time:      4328 |       4328 |                 torch._vendor.packaging._structures
import time:     11805 |      37473 |               torch._vendor.packaging.version
import time:      3046 |       3046 |               torch.version
import time:      5259 |      45778 |             torch.torch_version
import time:       779 |        779 |             torch._rocm_init
import time:     13546 |      13546 |                     numpy._utils._convertions
import time:     15866 |      29412 |                   numpy._utils
import time:     12692 |      42104 |                 numpy._globals
import time:      5387 |       5387 |                 numpy.exceptions
import time:      6497 |       6497 |                 numpy.version
import time:       713 |        713 |                   numpy._distributor_init_local
import time:      6284 |       6997 |                 numpy._distributor_init
import time:      8216 |       8216 |                           numpy._utils._inspect
import time:      4772 |       4772 |                             numpy.core._exceptions
import time:      9923 |       9923 |                             numpy.dtypes
import time:     84720 |      99414 |                           numpy.core._multiarray_umath
import time:      9387 |     117016 |                         numpy.core.overrides
import time:     16433 |     133449 |                       numpy.core.multiarray
import time:     12758 |      12758 |                       numpy.core.umath
import time:      4451 |       4451 |                         numpy.core._string_helpers
import time:      1144 |       1144 |                               pickle5
import time:     10034 |      11178 |                             numpy.compat.py3k
import time:     10047 |      21225 |                           numpy.compat
import time:      7477 |       7477 |                           numpy.core._dtype
import time:      7664 |      36365 |                         numpy.core._type_aliases
import time:      4986 |      45801 |                       numpy.core.numerictypes
import time:      2998 |       2998 |                               numpy.core._ufunc_config
import time:      4361 |       7359 |                             numpy.core._methods
import time:      4149 |      11507 |                           numpy.core.fromnumeric
import time:      3351 |      14857 |                         numpy.core.shape_base
import time:      3488 |       3488 |                         numpy.core.arrayprint
import time:      3302 |       3302 |                         numpy.core._asarray
import time:      4413 |      26059 |                       numpy.core.numeric
import time:      3872 |       3872 |                       numpy.core.defchararray
import time:      4256 |       4256 |                       numpy.core.records
import time:     25044 |      25044 |                       numpy.core.memmap
import time:     11188 |      11188 |                       numpy.core.function_base
import time:      3989 |       3989 |                       numpy.core._machar
import time:      5909 |       5909 |                       numpy.core.getlimits
import time:      5705 |       5705 |                       numpy.core.einsumfunc
import time:      3371 |       3371 |                         numpy.core._multiarray_tests
import time:      5477 |       8848 |                       numpy.core._add_newdocs
import time:      5210 |       5210 |                       numpy.core._add_newdocs_scalars
import time:      4221 |       4221 |                       numpy.core._dtype_ctypes
import time:      3531 |       3531 |                       numpy.core._internal
import time:      3427 |       3427 |                       numpy._pytesttester
import time:     13082 |     316341 |                     numpy.core
import time:        28 |     316368 |                   numpy.core._multiarray_umath
import time:      6950 |     323318 |                 numpy.__config__
import time:      7657 |       7657 |                   numpy.lib.mixins
import time:      4378 |       4378 |                       numpy.lib.ufunclike
import time:      6435 |      10812 |                     numpy.lib.type_check
import time:      5341 |      16153 |                   numpy.lib.scimath
import time:      5026 |       5026 |                               numpy.lib.stride_tricks
import time:      5418 |      10444 |                             numpy.lib.twodim_base
import time:      3827 |       3827 |                             numpy.linalg._umath_linalg
import time:      7806 |       7806 |                               numpy._typing._nested_sequence
import time:      4446 |       4446 |                               numpy._typing._nbit
import time:      4988 |       4988 |                               numpy._typing._char_codes
import time:      4047 |       4047 |                               numpy._typing._scalars
import time:     12501 |      12501 |                               numpy._typing._shape
import time:     10350 |      10350 |                               numpy._typing._dtype_like
import time:      6497 |       6497 |                               numpy._typing._array_like
import time:      6577 |      57209 |                             numpy._typing
import time:      7981 |      79459 |                           numpy.linalg.linalg
import time:      6563 |      86022 |                         numpy.linalg
import time:      6747 |      92768 |                       numpy.matrixlib.defmatrix
import time:      6573 |      99341 |                     numpy.matrixlib
import time:      4751 |       4751 |                       numpy.lib.histograms
import time:      7890 |      12641 |                     numpy.lib.function_base
import time:      4651 |     116632 |                   numpy.lib.index_tricks
import time:      5429 |       5429 |                   numpy.lib.nanfunctions
import time:      5642 |       5642 |                   numpy.lib.shape_base
import time:      5687 |       5687 |                   numpy.lib.polynomial
import time:      5103 |       5103 |                   numpy.lib.utils
import time:      5120 |       5120 |                   numpy.lib.arraysetops
import time:      4356 |       4356 |                     numpy.lib.format
import time:      4736 |       4736 |                     numpy.lib._datasource
import time:      5355 |       5355 |                     numpy.lib._iotools
import time:      5438 |      19884 |                   numpy.lib.npyio
import time:      4408 |       4408 |                   numpy.lib.arrayterator
import time:      4725 |       4725 |                   numpy.lib.arraypad
import time:      5253 |       5253 |                   numpy.lib._version
import time:      7673 |     209358 |                 numpy.lib
import time:      3167 |       3167 |                     numpy.fft._pocketfft_internal
import time:      8408 |      11575 |                   numpy.fft._pocketfft
import time:      3176 |       3176 |                   numpy.fft.helper
import time:      6037 |      20787 |                 numpy.fft
import time:      4070 |       4070 |                     numpy.polynomial.polyutils
import time:      5700 |       5700 |                     numpy.polynomial._polybase
import time:     11397 |      21166 |                   numpy.polynomial.polynomial
import time:      5747 |       5747 |                   numpy.polynomial.chebyshev
import time:      5589 |       5589 |                   numpy.polynomial.legendre
import time:      6503 |       6503 |                   numpy.polynomial.hermite
import time:      4995 |       4995 |                   numpy.polynomial.hermite_e
import time:      5041 |       5041 |                   numpy.polynomial.laguerre
import time:      7184 |      56222 |                 numpy.polynomial
import time:       956 |        956 |                           backports_abc
import time:      3335 |       4290 |                         numpy.random._common
import time:      1447 |       1447 |                             _hashlib
import time:        53 |         53 |                               _blake2
import time:      1079 |       1132 |                             hashlib
import time:       962 |       3540 |                           hmac
import time:      1229 |       4769 |                         secrets
import time:      4000 |      13058 |                       numpy.random.bit_generator
import time:      2786 |       2786 |                       numpy.random._bounded_integers
import time:      2356 |       2356 |                       numpy.random._mt19937
import time:      8609 |      26807 |                     numpy.random.mtrand
import time:      2408 |       2408 |                     numpy.random._philox
import time:      2186 |       2186 |                     numpy.random._pcg64
import time:      2704 |       2704 |                     numpy.random._sfc64
import time:      5709 |       5709 |                     numpy.random._generator
import time:      7072 |      46884 |                   numpy.random._pickle
import time:     10021 |      56904 |                 numpy.random
import time:      3213 |       3213 |                 numpy.ctypeslib
import time:     17491 |      17491 |                   numpy.ma.core
import time:      6266 |       6266 |                   numpy.ma.extras
import time:      5183 |      28939 |                 numpy.ma
import time:     13275 |     772996 |               numpy
import time:   3311033 |    4084028 |             torch._C
import time:      3624 |       3624 |               torch._namedtensor_internals
import time:      4865 |       4865 |               torch.overrides
import time:     10489 |      18978 |             torch._tensor
import time:      3833 |       3833 |               torch.types
import time:      4239 |       8071 |             torch.storage
import time:      7719 |       7719 |               torch.amp.autocast_mode
import time:      4970 |       4970 |               torch.amp.grad_scaler
import time:      6739 |      19427 |             torch.amp
import time:      4163 |       4163 |             torch.random
import time:       109 |        109 |                 pwd
import time:        42 |         42 |                 grp
import time:      2036 |       2186 |               tarfile
import time:      4177 |       4177 |               torch._weights_only_unpickler
import time:      4229 |       4229 |               torch._sources
import time:      1484 |       1484 |               mmap
import time:      4544 |      16617 |             torch.serialization
import time:      3682 |       3682 |             torch._tensor_str
import time:      7278 |       7278 |               torch.cuda.gds
import time:      4883 |       4883 |               torch.cuda._utils
import time:      6985 |       6985 |               torch.cuda.graphs
import time:      5676 |       5676 |               torch.cuda.streams
import time:       682 |        682 |                 ctypes.util
import time:     11214 |      11896 |               pynvml
import time:      6724 |       6724 |                 torch.cuda._memory_viz
import time:      5280 |      12004 |               torch.cuda.memory
import time:      5199 |       5199 |               torch.cuda.random
import time:      8638 |       8638 |                 torch.cuda.amp.autocast_mode
import time:      9140 |       9140 |                 torch.cuda.amp.common
import time:      6639 |       6639 |                 torch.cuda.amp.grad_scaler
import time:      8810 |      33225 |               torch.cuda.amp
import time:      5847 |       5847 |               torch.cuda.jiterator
import time:      4695 |       4695 |               torch.cuda.nvtx
import time:      4828 |       4828 |               torch.cuda.profiler
import time:      4481 |       4481 |               torch.cuda.sparse
import time:       504 |        504 |                     multiprocessing.process
import time:       502 |        502 |                     multiprocessing.reduction
import time:       820 |       1825 |                   multiprocessing.context
import time:      1008 |       2833 |                 multiprocessing
import time:      4912 |       7744 |               torch.cuda.tunable
import time:     50135 |     164867 |             torch.cuda
import time:      4780 |       4780 |                 torch.sparse._semi_structured_conversions
