import time: self [us] | cumulative | imported package
import time:      5991 |       5991 |                   numpy.lib.arrayterator
import time:      5621 |       5621 |                   numpy.lib.arraypad
import time:      6002 |       6002 |                   numpy.lib._version
import time:      7840 |     241149 |                 numpy.lib
import time:      3348 |       3348 |                     numpy.fft._pocketfft_internal
import time:      8793 |      12141 |                   numpy.fft._pocketfft
import time:      4962 |       4962 |                   numpy.fft.helper
import time:      7704 |      24805 |                 numpy.fft
import time:      5067 |       5067 |                     numpy.polynomial.polyutils
import time:      5287 |       5287 |                     numpy.polynomial._polybase
import time:     10112 |      20465 |                   numpy.polynomial.polynomial
import time:      6655 |       6655 |                   numpy.polynomial.chebyshev
import time:      5766 |       5766 |                   numpy.polynomial.legendre
import time:      8968 |       8968 |                   numpy.polynomial.hermite
import time:      6312 |       6312 |                   numpy.polynomial.hermite_e
import time:      6983 |       6983 |                   numpy.polynomial.laguerre
import time:      8827 |      63973 |                 numpy.polynomial
import time:      1449 |       1449 |                           backports_abc
import time:      4502 |       5951 |                         numpy.random._common
import time:      1316 |       1316 |                             _hashlib
import time:        50 |         50 |                               _blake2
import time:       909 |        958 |                             hashlib
import time:       879 |       3152 |                           hmac
import time:       874 |       4026 |                         secrets
import time:      4842 |      14817 |                       numpy.random.bit_generator
import time:      3309 |       3309 |                       numpy.random._bounded_integers
import time:      2701 |       2701 |                       numpy.random._mt19937
import time:      7710 |      28535 |                     numpy.random.mtrand
import time:      3575 |       3575 |                     numpy.random._philox
import time:      3004 |       3004 |                     numpy.random._pcg64
import time:      2663 |       2663 |                     numpy.random._sfc64
import time:     17747 |      17747 |                     numpy.random._generator
import time:      9755 |      65277 |                   numpy.random._pickle
import time:      8799 |      74075 |                 numpy.random
import time:      4436 |       4436 |                 numpy.ctypeslib
import time:     10311 |      10311 |                   numpy.ma.core
import time:      6656 |       6656 |                   numpy.ma.extras
import time:      7111 |      24077 |                 numpy.ma
import time:     11234 |     802465 |               numpy
import time:   2067018 |    2869483 |             torch._C
import time:      4016 |       4016 |               torch._namedtensor_internals
import time:      6106 |       6106 |               torch.overrides
import time:      7147 |      17268 |             torch._tensor
import time:      5666 |       5666 |               torch.types
import time:      4942 |      10608 |             torch.storage
import time:      8102 |       8102 |               torch.amp.autocast_mode
import time:      6049 |       6049 |               torch.amp.grad_scaler
import time:      8227 |      22377 |             torch.amp
import time:      4110 |       4110 |             torch.random
import time:        55 |         55 |                 pwd
import time:        36 |         36 |                 grp
import time:      1556 |       1646 |               tarfile
import time:      3738 |       3738 |               torch._weights_only_unpickler
import time:      4435 |       4435 |               torch._sources
import time:      1006 |       1006 |               mmap
import time:      4946 |      15768 |             torch.serialization
import time:      4050 |       4050 |             torch._tensor_str
import time:      7813 |       7813 |               torch.cuda.gds
import time:      5096 |       5096 |               torch.cuda._utils
import time:     11290 |      11290 |               torch.cuda.graphs
import time:      8647 |       8647 |               torch.cuda.streams
import time:       394 |        394 |                 ctypes.util
import time:     16086 |      16479 |               pynvml
import time:      6222 |       6222 |                 torch.cuda._memory_viz
import time:      5942 |      12164 |               torch.cuda.memory
import time:      5197 |       5197 |               torch.cuda.random
import time:     10101 |      10101 |                 torch.cuda.amp.autocast_mode
import time:      5585 |       5585 |                 torch.cuda.amp.common
import time:      5528 |       5528 |                 torch.cuda.amp.grad_scaler
import time:      9097 |      30310 |               torch.cuda.amp
import time:      4966 |       4966 |               torch.cuda.jiterator
import time:      4361 |       4361 |               torch.cuda.nvtx
import time:      4389 |       4389 |               torch.cuda.profiler
import time:      4981 |       4981 |               torch.cuda.sparse
import time:      4399 |       4399 |               torch.cuda.tunable
import time:     57078 |     177162 |             torch.cuda
import time:      5610 |       5610 |                 torch.sparse._semi_structured_conversions
import time:      6388 |       6388 |                 torch.sparse._semi_structured_ops
import time:      9951 |      21948 |               torch.sparse.semi_structured
import time:      6269 |      28217 |             torch.sparse
import time:      3846 |       3846 |             torch._compile
import time:      3751 |       3751 |             torch._VF
import time:      9695 |       9695 |                   torch.nn.parameter
import time:      7099 |       7099 |                       torch._prims_common
import time:     11615 |      11615 |                           torch.utils.backcompat
import time:      5006 |       5006 |                           torch.utils.collect_env
import time:       689 |        689 |                                   cmd
import time:       846 |        846 |                                   bdb
import time:       804 |        804 |                                     codeop
import time:       942 |       1745 |                                   code
import time:      1040 |       4319 |                                 pdb
import time:      4273 |       4273 |                                   torch.utils._typing_utils
import time:      5830 |       5830 |                                     torch.monitor
import time:      4958 |       4958 |                                       torch.distributed.logging_handlers
import time:      4458 |       9415 |                                     torch.distributed.c10d_logger
import time:      6651 |       6651 |                                     torch.distributed.constants
import time:      4980 |       4980 |                                     torch.distributed.rendezvous
import time:      6107 |      32981 |                                   torch.distributed.distributed_c10d
import time:      8172 |      45425 |                                 torch.distributed.device_mesh
import time:      4291 |       4291 |                                 torch.distributed.remote_device
import time:     11930 |      65963 |                               torch.distributed
import time:      9220 |       9220 |                                               torch.utils.data.datapipes._hook_iterator
import time:     10431 |      19651 |                                             torch.utils.data.datapipes._typing
import time:     11273 |      11273 |                                               torch.utils._import_utils
import time:     16845 |      16845 |                                                 torch.utils.data.datapipes.utils
import time:     18030 |      34875 |                                               torch.utils.data.datapipes.utils.common
import time:      8663 |       8663 |                                               torch.utils.data.dataset
import time:     11262 |      66072 |                                             torch.utils.data.datapipes.datapipe
import time:     12052 |      97774 |                                           torch.utils.data.datapipes._decorator
import time:     10284 |      10284 |                                             torch.utils.data.datapipes.dataframe.dataframe_wrapper
