   Building upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
      Built upstage-ocr-receipt-text-detection @ file:///workspaces/upstageailab-ocr-recsys-competition-ocr-2
Uninstalled 1 package in 30ms
Installed 1 package in 92ms
import time: self [us] | cumulative | imported package
import time:      5697 |       5697 |               torch.cuda.random
import time:      9555 |       9555 |                 torch.cuda.amp.autocast_mode
import time:      6428 |       6428 |                 torch.cuda.amp.common
import time:      6362 |       6362 |                 torch.cuda.amp.grad_scaler
import time:     10701 |      33045 |               torch.cuda.amp
import time:      5025 |       5025 |               torch.cuda.jiterator
import time:      5459 |       5459 |               torch.cuda.nvtx
import time:      4626 |       4626 |               torch.cuda.profiler
import time:      6452 |       6452 |               torch.cuda.sparse
import time:       450 |        450 |                     multiprocessing.process
import time:       493 |        493 |                     multiprocessing.reduction
import time:       874 |       1815 |                   multiprocessing.context
import time:      1188 |       3003 |                 multiprocessing
import time:      5861 |       8863 |               torch.cuda.tunable
import time:     63779 |     171206 |             torch.cuda
import time:      4179 |       4179 |                 torch.sparse._semi_structured_conversions
import time:      4189 |       4189 |                 torch.sparse._semi_structured_ops
import time:      7023 |      15391 |               torch.sparse.semi_structured
import time:      5776 |      21166 |             torch.sparse
import time:      3111 |       3111 |             torch._compile
import time:      2848 |       2848 |             torch._VF
import time:      6962 |       6962 |                   torch.nn.parameter
import time:      6281 |       6281 |                       torch._prims_common
import time:      9722 |       9722 |                           torch.utils.backcompat
import time:      4741 |       4741 |                           torch.utils.collect_env
